root info:  osm {'version': '0.6', 'generator': 'CGImap 0.8.6 (2356102 spike-08.openstreetmap.org)', 'copyright': 'OpenStreetMap and contributors', 'attribution': 'http://www.openstreetmap.org/copyright', 'license': 'http://opendatacommons.org/licenses/odbl/1-0/'}
nspaces =  {}
node 1067673441 : ('33.6582650', '130.6503340')
node 1067673456 : ('33.6654444', '130.6617811')
node 1067673484 : ('33.6602640', '130.6836085')
node 1067673485 : ('33.6685873', '130.6775372')
node 1067673513 : ('33.6734430', '130.6657680')
node 1067673520 : ('33.6510567', '130.6769024')
node 1067673544 : ('33.6547973', '130.6755686')
node 1067673642 : ('33.6611576', '130.6789506')
node 1067673643 : ('33.6476504', '130.6477785')
node 1067673844 : ('33.6738197', '130.6679111')
node 1067673853 : ('33.6719545', '130.6689394')
node 1067673877 : ('33.6605450', '130.6833285')
node 1067674132 : ('33.6636239', '130.6686402')
node 1067674136 : ('33.6459453', '130.6681663')
node 1067674227 : ('33.6733950', '130.6654130')
node 1067674228 : ('33.6591980', '130.6538360')
node 1067674237 : ('33.6707830', '130.6760120')
node 1067674347 : ('33.6621115', '130.6788658')
node 1067674455 : ('33.6513833', '130.6767423')
node 1067674539 : ('33.6371068', '130.6537040')
node 1067674611 : ('33.6577120', '130.6544510')
node 1067674661 : ('33.6469970', '130.6702736')
node 1067674692 : ('33.6474365', '130.6489116')
node 1067674695 : ('33.6578187', '130.6744375')
node 1067674750 : ('33.6376422', '130.6526119')
node 1067674774 : ('33.6597840', '130.6495720')
node 1067674796 : ('33.6580680', '130.6485941')
node 1067674839 : ('33.6377112', '130.6528429')
node 1067674845 : ('33.6587820', '130.6538500')
node 1067674865 : ('33.6691831', '130.6776177')
node 1067674900 : ('33.6412808', '130.6472947')
node 1067674948 : ('33.6608310', '130.6480770')
node 1067674983 : ('33.6497834', '130.6744894')
node 1067675002 : ('33.6689358', '130.6611195')
node 1067675075 : ('33.6504267', '130.6761728')
node 1067675120 : ('33.6656301', '130.6631777')
node 1067675123 : ('33.6474685', '130.6491877')
node 1067675173 : ('33.6582773', '130.6742421')
node 1067675183 : ('33.6605556', '130.6829825')
node 1067675196 : ('33.6702070', '130.6747250')
node 1067675229 : ('33.6654941', '130.6631685')
node 1067675249 : ('33.6601522', '130.6696283')
node 1067675305 : ('33.6502399', '130.6760651')
node 1067675379 : ('33.6415148', '130.6473107')
node 1067675394 : ('33.6343850', '130.6532870')
node 1067675611 : ('33.6662338', '130.6772668')
node 1067675658 : ('33.6589945', '130.6741584')
node 1067675758 : ('33.6413918', '130.6485347')
node 1067676045 : ('33.6586668', '130.6714289')
node 1067676082 : ('33.6588880', '130.6486421')
node 1067676146 : ('33.6659813', '130.6703161')
node 1067676182 : ('33.6652408', '130.6759892')
node 1067676219 : ('33.6650047', '130.6625164')
node 1067676265 : ('33.6630035', '130.6644818')
node 1067676284 : ('33.6463097', '130.6680120')
