edge_id,start,end,length,linestring,highway,oneway,reversed,lanes,name
109,35,7277,26.086,LINESTRING (131.6779218 32.5062054 131.6780796 32.5060122),residential,False,False,nan,nan
110,36,26,116.784,LINESTRING (131.6697011 32.506177 131.6698042 32.5061562 131.6700583 32.5059822 131.6702203 32.5057987 131.6705807 32.5054587),residential,False,False,nan,nan
111,36,8591,67.94200000000001,LINESTRING (131.6697011 32.506177 131.669647 32.5061354 131.6692947 32.5058748 131.6691709 32.5057615),residential,False,True,nan,nan
112,36,3668,67.257,LINESTRING (131.6697011 32.506177 131.6696454 32.5062504 131.6695805 32.5063338 131.6695369 32.506386 131.6695046 32.506478 131.6694377 32.5066619 131.6694368 32.5067277),residential,False,False,nan,nan
113,37,35,75.676,LINESTRING (131.6786206 32.5065458 131.6779218 32.5062054),residential,False,False,nan,nan
114,37,35,152.152,LINESTRING (131.6786206 32.5065458 131.6785161 32.506776 131.6784919 32.506802 131.6784636 32.5068146 131.6784135 32.5068156 131.6777458 32.5065198 131.6777189 32.506501 131.6777074 32.5064776 131.6777138 32.5064526 131.6779218 32.5062054),residential,False,True,nan,nan
115,37,45,54.441,LINESTRING (131.6786206 32.5065458 131.67885 32.5066612 131.6788607 32.5067354 131.6787651 32.506907),residential,False,True,nan,nan
116,38,3519,33.669,LINESTRING (131.6736316 32.5061774 131.6733013 32.5060587),trunk,False,False,2.0,国道10号
117,38,47,112.699,LINESTRING (131.6736316 32.5061774 131.6739364 32.506315 131.6746299 32.5067383),trunk,False,True,2.0,国道10号
118,38,20,89.967,LINESTRING (131.6736316 32.5061774 131.6736426 32.5061619 131.6736922 32.5060921 131.6741477 32.5054954),tertiary,False,True,nan,nan
119,39,7240,28.432,LINESTRING (131.6918482 32.5063048 131.6915804 32.5064247),residential,False,True,nan,nan
120,39,42,28.041,LINESTRING (131.6918482 32.5063048 131.6919837 32.5065296),residential,False,False,nan,nan
121,39,31,118.331,LINESTRING (131.6918482 32.5063048 131.6914299 32.5055716 131.6911655 32.5056858),residential,False,False,nan,nan
122,40,3551,68.162,LINESTRING (131.671951 32.5064042 131.6716434 32.5069596),residential,False,False,nan,nan
123,40,3517,37.559,LINESTRING (131.671951 32.5064042 131.6716417 32.5061896),secondary,False,False,nan,土々呂日向線
124,40,3518,69.979,LINESTRING (131.671951 32.5064042 131.672531 32.5068002),secondary,False,True,nan,土々呂日向線
125,41,138,724.7060000000001,LINESTRING (131.7016185 32.5063865 131.7016061 32.5064353 131.7015828 32.5065076 131.7012094 32.5068942 131.7010702 32.5070856 131.7009074 32.507357 131.7008073 32.5075364 131.7007639 32.5076426 131.700744 32.5077324 131.7007346 32.5078074 131.700729 32.5081382 131.700751 32.5083053 131.7009746 32.5087326 131.7009912 32.5088555 131.7009607 32.5090588 131.7009422 32.5092717 131.7009571 32.5095111 131.7009765 32.5096419 131.7009578 32.5099332 131.7009337 32.5100707 131.7008791 32.5102632 131.7008265 32.5104386 131.7007842 32.510631 131.7007726 32.510711 131.7007536 32.5111546 131.7007336 32.511202 131.700604 32.5113368 131.7003345 32.5115484 131.7002725 32.5116399 131.7001413 32.511884 131.7002381 32.5123247 131.7002693 32.5124444),unclassified,False,True,nan,nan
126,41,34,205.556,LINESTRING (131.7016185 32.5063865 131.701535 32.506281 131.701132 32.505859 131.7010815 32.5058029 131.7010176 32.5057404 131.7010059 32.5057289 131.700986 32.505712 131.7008706 32.5056767 131.7007945 32.5056758 131.7007163 32.5056952 131.7006369 32.5057274 131.7005706 32.5057799 131.7002687 32.5060252 131.7002082 32.5060663 131.7001496 32.5060843 131.6999968 32.5060817),secondary,False,False,nan,遠見半島線
127,41,8533,966.913,LINESTRING (131.7016185 32.5063865 131.701644 32.506386 131.7018446 32.506324 131.7020013 32.5062684 131.7021117 32.5061983 131.7021699 32.5061451 131.702214 32.5060751 131.7023389 32.5057294 131.7023585 32.505668 131.7025226 32.5055878 131.7028055 32.5054773 131.7028861 32.5054383 131.7030778 32.5052895 131.7031235 32.5052615 131.7031717 32.5052435 131.7034673 32.5052111 131.7035236 32.5052068 131.7039235 32.5050638 131.703975 32.5050402 131.7040204 32.5050088 131.7042603 32.5047098 131.704469 32.5046333 131.7045682 32.5045815 131.7046345 32.5045145 131.7048013 32.5041495 131.7048316 32.5041138 131.7049198 32.5040801 131.7050884 32.5040251 131.7052227 32.5039607 131.7053487 32.5038715 131.7055168 32.5037206 131.7056536 32.5035902 131.7058656 32.503417 131.7059357 32.5033592 131.7060568 32.5032254 131.7061498 32.5031054 131.7063523 32.5029284 131.7065055 32.5027867 131.7065982 32.5027133 131.7066529 32.5026799 131.7067626 32.5026288 131.7068634 32.5025736 131.7069316 32.5025242 131.7069716 32.5024679 131.7071356 32.5023191 131.7074145 32.5021315 131.7074549 32.5021048 131.7075088 32.5020817 131.7076014 32.5020725 131.7076989 32.5020763 131.7077944 32.5020944 131.7078917 32.5021203 131.7079961 32.5021517 131.7080559 32.5021646 131.7082796 32.5021846 131.7083734 32.5021783 131.7084523 32.5021551 131.7085224 32.502118 131.7086047 32.5020483 131.7086934 32.5019811 131.7088414 32.5018941 131.7089586 32.5018649 131.7090411 32.5018315 131.7090877 32.5017977 131.7091658 32.5017125 131.709311 32.5016294 131.7094008 32.5016025 131.7094297 32.5015923),secondary,False,True,nan,遠見半島線
128,42,7239,28.063,LINESTRING (131.6919837 32.5065296 131.6917178 32.5066454),residential,False,True,nan,nan
